Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Desperation Overhang Left","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107627815/desperation-overhang-left,1.5,-1,TR,5.11+,1,25,48.6493,-122.4706
"Desperation Face Right","Desperation > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107763646/desperation-face-right,2.5,-1,TR,5.12d,1,30,48.6493,-122.4706
"The Dihedral","Dihedral Area > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107631750/the-dihedral,3.2,-1,"Trad, TR",5.10a,1,75,48.6493,-122.4706
"Resistance Route","Boat Launch Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107675857/resistance-route,2.6,-1,"Sport, TR",5.7,1,100,48.65357,-122.49253
"Variation Left","Boat Launch Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107763621/variation-left,-1.0,-1,Sport,5.7,1,100,48.65357,-122.49253
"Variation Low Right","Boat Launch Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107763635/variation-low-right,1.0,-1,Sport,5.9,1,100,48.65357,-122.49253
"Variation High Right","Boat Launch Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107763639/variation-high-right,2.6,-1,Sport,5.9,1,100,48.65357,-122.49253
"Trash Factor","The Gray Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/108124998/trash-factor,2.0,-1,TR,5.4,1,40,48.6498,-122.4915
"Variation Face Left","The Gray Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107772887/variation-face-left,1.0,-1,TR,5.6,1,40,48.6498,-122.4915
Bulge,"The Gray Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107772909/bulge,1.8,-1,TR,5.7,1,40,48.6498,-122.4915
"Variation Face Right","The Gray Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107772915/variation-face-right,1.8,-1,TR,5.7,1,40,48.6498,-122.4915
"The Chute","The Gray Wall > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/108198462/the-chute,1.0,-1,TR,5.8,1,40,48.6498,-122.4915
"Washington Hard Man","Raptor Ridge > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/114558062/washington-hard-man,3.3,-1,"Trad, TR",5.8+,1,35,48.67947,-122.46439
E-dog,"Hobo Hide Away > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/118566492/e-dog,2.5,-1,TR,5.10c,1,25,48.64069,-122.48011
"Limpet to the Finish Line","Larrabee Cave > Larrabee > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124724482/limpet-to-the-finish-line,2.0,-1,"Trad, TR",5.5,1,45,48.64872,-122.4912
"Aztek Warrior","Concrete Jungle > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/113329813/aztek-warrior,2.0,-1,Sport,5.11+,1,35,48.69993,-122.49141
"North Arete², Engineering Building","New Sub-Area 1 > Western Washington University Buildering > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/118683367/north-arete2-engineering-building,3.5,-1,Sport,"5.9 R",3,80,48.73249,-122.48682
"Stemming Corner Project","New Sub-Area 1 > Western Washington University Buildering > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/122587148/stemming-corner-project,0.0,-1,Sport,5.12d,1,,48.73249,-122.48682
"Falcon Punch","Alger Overhang > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123712556/falcon-punch,4.0,-1,Sport,5.10d,1,50,48.63765,-122.34912
Wishbone,"Alger Overhang > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123712562/wishbone,3.0,-1,Sport,5.11a,1,50,48.63765,-122.34912
"Flossing the Sky","Alger Overhang > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123712615/flossing-the-sky,3.0,-1,Sport,5.11a,1,50,48.63765,-122.34912
"Amanecia Libre (a.k.a. Free Dawn)","Alger Overhang > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123712669/amanecia-libre-aka-free-dawn,4.0,-1,Sport,5.11b,1,60,48.63765,-122.34912
"Blood Orange","Alger Overhang > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123022490/blood-orange,3.0,-1,Sport,5.11c,1,40,48.63765,-122.34912
"Wet By Nature","Alger Overhang > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123712619/wet-by-nature,3.0,-1,Sport,5.11d,1,50,48.63765,-122.34912
"Whisper Kittens","Squire Bluffs > Squire Ridge > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123022508/whisper-kittens,3.0,-1,Sport,5.10c,1,60,48.63466,-122.34783
"Less Than One","Less Than Crag > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/123802792/less-than-one,2.0,-1,"Sport, TR",5.10,1,15,48.82004,-122.20892
Sandinista,"Sandinista Slab > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124838790/sandinista,2.6,-1,Sport,5.7,1,30,48.64273,-122.46177
"Young Punks","Sandinista Slab > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124838845/young-punks,2.5,-1,Sport,5.7,1,40,48.64273,-122.46177
"Rebel Rock","Sandinista Slab > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124838812/rebel-rock,3.0,-1,Sport,5.8+,1,45,48.64273,-122.46177
"Rebel Right","Sandinista Slab > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124838826/rebel-right,3.3,-1,Sport,5.10a,1,50,48.64273,-122.46177
"Career Opportunities","Main Wall > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124838945/career-opportunities,2.8,-1,Sport,5.10a/b,1,50,48.64247,-122.46096
"Oldies Walkin' Barefoot","Main Wall > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124839064/oldies-walkin-barefoot,4.0,-1,Sport,5.10,1,100,48.64247,-122.46096
"Guaranteed Personality","Main Wall > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124838913/guaranteed-personality,2.8,-1,Sport,5.10b/c,1,55,48.64247,-122.46096
"Combat Rock","Main Wall > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124839122/combat-rock,4.0,-1,Sport,5.11b/c,1,70,48.64247,-122.46096
"Corner Soul","Main Wall > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124839002/corner-soul,3.0,-1,Sport,5.11+,1,50,48.64247,-122.46096
"Surgically Smallerized","Main Wall > The Burnout > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/124839236/surgically-smallerized,4.0,-1,Sport,5.12-,1,100,48.64247,-122.46096
"Sehome Chimney","Main Area (left) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107666569/sehome-chimney,2.0,-1,"Trad, TR",5.4,1,20,48.72961,-122.48343
Gross,"Main Area (left) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/125094991/gross,0.0,-1,"Trad, TR",5.5,1,17,48.72961,-122.48343
"The Classic","Main Area (left) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/116841426/the-classic,2.0,-1,"Sport, TR",5.8,1,20,48.72961,-122.48343
"The Stairway","Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107764200/the-stairway,4.0,-1,TR,5.2,1,30,48.72961,-122.48342
"Lingley's Slab","Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/125094123/lingleys-slab,1.0,-1,TR,5.3,1,16,48.72961,-122.48342
Sidewalk,"Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107702885/sidewalk,1.0,-1,TR,5.5,1,60,48.72961,-122.48342
"Bolt Ladder 2 Variation","Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107666593/bolt-ladder-2-variation,2.8,-1,"Sport, TR",5.9,1,35,48.72961,-122.48342
"The Diagonal (aka Catwalk)","Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107764186/the-diagonal-aka-catwalk,1.3,-1,TR,5.9,1,30,48.72961,-122.48342
"Bolt Ladder  2","Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107666583/bolt-ladder-2,2.5,-1,TR,5.10a,1,35,48.72961,-122.48342
"Sidewalk Direct","Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107763667/sidewalk-direct,1.8,-1,TR,5.10b,1,30,48.72961,-122.48342
Unnamed,"Main Area (right) > Main Area > Sehome Arboretum > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/107764182/unnamed,2.3,-1,TR,5.10b,1,35,48.72961,-122.48342
"Excavation, AKA The Crack","Shuksan Crag > Baker Crags > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/109879777/excavation-aka-the-crack,2.7,-1,"Trad, TR, Mixed","5.8 M5+",1,50,48.90581,-121.6776
"Last Chance for Gas, AKA Tricky Start","Shuksan Crag > Baker Crags > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/109879909/last-chance-for-gas-aka-tricky-start,3.0,-1,"Sport, TR, Mixed","5.11a M6+",1,50,48.90581,-121.6776
